lat,lon,PSurf_autumn,PSurf_spring,PSurf_summer,PSurf_winter,Qair_autumn,Qair_spring,Qair_summer,Qair_winter,Rainf_autumn,Rainf_spring,Rainf_summer,Rainf_winter,Snowf_autumn,Snowf_spring,Snowf_summer,Snowf_winter,Tair_autumn,Tair_spring,Tair_summer,Tair_winter,Wind_autumn,Wind_spring,Wind_summer,Wind_winter,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
20.75,4.25,94121.375,94015.28,93906.98,94553.94,0.0044853813,0.0032272625,0.0067106485,0.0024819823,0.0,5.1373544e-08,5.408167e-06,0.0,0.0,0.0,0.0,0.0,301.01663,300.91666,305.58328,292.05002,3.645867,4.561668,3.742697,4.1378856,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.75,4.75,94846.48,94739.055,94621.94,95304.87,0.0044955653,0.0032288441,0.0066920384,0.0025054207,0.0,0.0,4.7101134e-06,0.0,0.0,0.0,0.0,0.0,301.48325,301.61673,305.98328,292.55002,3.719941,4.556549,3.7230427,4.4011984,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.75,5.25,94494.25,94382.305,94277.09,94944.375,0.0044939285,0.0032077723,0.0066502704,0.0025181372,0.0,0.0,4.2260713e-06,0.0,0.0,0.0,0.0,0.0,301.45007,301.68335,305.91666,292.55008,3.8659785,4.5961285,3.8325176,4.5826616,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.75,5.75,94534.16,94419.336,94318.97,94988.52,0.004481409,0.003201206,0.0066521005,0.0025239426,0.0,0.0,3.528082e-06,0.0,0.0,0.0,0.0,0.0,301.45,301.81662,305.95016,292.51672,3.840728,4.5097985,3.8471334,4.605552,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.75,6.25,94378.52,94263.305,94168.94,94828.54,0.0046115723,0.003325009,0.006817596,0.002606757,0.0,0.0,2.6453915e-06,0.0,0.0,0.0,0.0,0.0,301.95004,302.44995,306.38327,293.01666,3.8381948,4.4939384,3.8680208,4.7865434,58.9,56.0,16.2,17.0,24.9,27.0,7.1,7.2,0.97,0.4,0.13,0.02,69.0,90.0,10.4,8.0,55.0,28.0,0.1,0.5,1.2,1.5,11.0,8.0
20.75,6.75,94687.98,94568.77,94477.6,95147.78,0.004664309,0.0033464388,0.0068590627,0.0026380455,0.0,0.0,3.0899619e-06,0.0,0.0,0.0,0.0,0.0,301.95004,302.55002,306.44986,292.88327,3.8922765,4.5359116,3.8901923,4.9427257,58.9,56.0,16.2,17.0,24.9,27.0,7.1,7.2,0.97,0.4,0.13,0.02,69.0,90.0,10.4,8.0,55.0,28.0,0.1,0.5,1.2,1.5,11.0,8.0
20.75,7.25,94787.164,94665.9,94582.38,95247.09,0.0045876,0.0032666612,0.0067584314,0.0025770597,0.0,0.0,2.6662403e-06,0.0,0.0,0.0,0.0,0.0,301.2832,301.95004,305.94995,292.08337,3.889865,4.535633,3.8762715,4.9131966,58.9,56.0,16.2,17.0,24.9,27.0,7.1,7.2,0.97,0.4,0.13,0.02,69.0,90.0,10.4,8.0,55.0,28.0,0.1,0.5,1.2,1.5,11.0,8.0
21.25,1.25,96274.47,96178.336,96010.37,96739.4,0.0043691476,0.0033593934,0.007089717,0.0023797804,6.192643e-07,9.1438284e-07,3.8408652e-06,0.0,0.0,0.0,0.0,0.0,301.78333,300.88336,307.11667,292.0499,3.8633807,4.30954,4.022701,4.152055,41.81,35.19,35.71,37.09,22.48,27.57,8.27,8.06,0.195,0.177,0.023,0.013,100.0,100.0,6.44,5.49,59.7,50.6,21.8,21.81,1.53,1.4,10.0,14.1
21.25,1.75,96010.23,95913.9,95753.47,96467.82,0.0043431264,0.0033205177,0.0070200018,0.0023186484,6.975622e-07,1.3551194e-07,4.197697e-06,0.0,0.0,0.0,0.0,0.0,301.81662,301.01663,306.9835,292.18338,3.7808962,4.3504496,4.028068,4.132792,41.81,35.19,35.71,37.09,22.48,27.57,8.27,8.06,0.195,0.177,0.023,0.013,100.0,100.0,6.44,5.49,59.7,50.6,21.8,21.81,1.53,1.4,10.0,14.1
21.25,2.25,95369.65,95272.164,95126.414,95811.1,0.0042994455,0.003264808,0.006870895,0.002292801,6.1640253e-07,1.1740794e-07,3.9610136e-06,0.0,0.0,0.0,0.0,0.0,301.68335,301.01666,306.85007,292.15,3.6311939,4.3526893,3.9816859,4.0962863,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
21.25,2.75,94454.44,94354.19,94223.4,94873.99,0.004368421,0.0032815055,0.006652948,0.0023754283,5.661672e-07,8.999657e-08,4.6787864e-06,0.0,0.0,0.0,0.0,0.0,301.65,301.08347,306.68332,292.21674,3.3935483,4.274617,3.767759,3.9491813,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
21.25,3.25,94169.664,94066.54,93942.94,94589.63,0.004385664,0.0032503419,0.0064992104,0.0024194245,1.4947825e-07,0.0,5.122744e-06,0.0,0.0,0.0,0.0,0.0,301.18338,300.68335,306.18332,291.85,3.2843344,4.2770643,3.5920188,3.9141066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.25,3.75,94097.52,93994.31,93871.305,94521.23,0.0043961313,0.0032091811,0.0064199045,0.0024242431,0.0,3.856996e-08,4.420913e-06,0.0,0.0,0.0,0.0,0.0,300.94992,300.6167,305.84995,291.78333,3.4306457,4.4898777,3.7356548,4.2070785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.25,4.25,94024.25,93916.06,93800.68,94450.62,0.004382122,0.0031319128,0.006336847,0.0024149672,1.3581628e-07,0.0,4.231215e-06,0.0,0.0,0.0,0.0,0.0,300.7167,300.4833,305.55002,291.58337,3.5831826,4.6533084,3.789837,4.274283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.25,4.75,94183.51,94070.98,93958.22,94619.71,0.004375201,0.0030789003,0.0062076547,0.0024309047,1.6410638e-07,0.0,4.048689e-06,0.0,0.0,0.0,0.0,0.0,300.8834,300.81665,305.6166,291.81662,3.7041695,4.6881237,3.7818844,4.3926234,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
21.25,5.25,94032.41,93916.43,93814.22,94471.52,0.004316293,0.0030380434,0.006137558,0.0024362216,1.4523705e-07,0.0,4.115824e-06,0.0,0.0,0.0,0.0,0.0,300.68332,300.78342,305.48337,291.7499,3.8345764,4.6677547,3.8425465,4.4976196,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
21.25,5.75,94107.79,93989.836,93889.48,94553.94,0.004330465,0.0030549308,0.006095402,0.0024574485,0.0,0.0,3.1042846e-06,0.0,0.0,0.0,0.0,0.0,300.81674,301.0168,305.54996,291.81668,3.8842785,4.597615,3.8793318,4.5534306,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
21.25,6.25,94241.9,94123.77,94025.664,94697.69,0.004325626,0.0030728646,0.006061673,0.002478214,0.0,0.0,2.2058746e-06,0.0,0.0,0.0,0.0,0.0,300.81665,301.18335,305.6167,291.81665,3.771634,4.447392,3.8274162,4.582529,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
21.25,6.75,92875.63,92756.21,92687.76,93289.086,0.004370301,0.0030885637,0.0060454793,0.0025326258,0.0,0.0,2.6420978e-06,0.0,0.0,0.0,0.0,0.0,300.28333,300.71667,305.21667,291.1499,3.6773474,4.4042993,3.8034563,4.541466,58.9,56.0,16.2,17.0,24.9,27.0,7.1,7.2,0.97,0.4,0.13,0.02,69.0,90.0,10.4,8.0,55.0,28.0,0.1,0.5,1.2,1.5,11.0,8.0
21.25,7.25,94149.086,94027.305,93943.04,94609.74,0.004438861,0.0031383391,0.006072713,0.0025993746,0.0,0.0,2.317943e-06,0.0,0.0,0.0,0.0,0.0,300.4166,301.0168,305.44998,291.2166,3.72258,4.4920087,3.8516634,4.5759788,58.9,56.0,16.2,17.0,24.9,27.0,7.1,7.2,0.97,0.4,0.13,0.02,69.0,90.0,10.4,8.0,55.0,28.0,0.1,0.5,1.2,1.5,11.0,8.0
21.25,7.75,94336.52,94215.48,94133.21,94802.414,0.0045233476,0.0031882059,0.006138786,0.0026472232,0.0,0.0,1.7455676e-06,0.0,0.0,0.0,0.0,0.0,300.44995,301.08337,305.5166,291.11673,3.9460618,4.677375,4.0021057,4.8038006,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
21.75,0.25,96505.94,96402.336,96203.16,96979.87,0.0045712604,0.0035293035,0.006728968,0.0026436488,0.0,2.1239886e-07,2.610839e-06,0.0,0.0,0.0,0.0,0.0,301.78333,300.61667,307.44998,291.58328,4.09235,4.325495,4.1201506,4.355675,22.915,19.75,16.52,18.995,10.57,11.21,3.7,3.725,0.187,0.115,0.019,0.0115,43.75,45.0,5.92,5.12,29.7,25.2,5.34,5.955,0.755,0.695,4.5,6.0
21.75,0.75,96332.65,96228.836,96038.625,96802.52,0.0044732937,0.0034410984,0.0066241752,0.0025530204,0.0,3.9615017e-07,2.4831802e-06,0.0,0.0,0.0,0.0,0.0,301.75006,300.58328,307.38333,291.61667,4.043702,4.332203,4.020036,4.276318,41.81,35.19,35.71,37.09,22.48,27.57,8.27,8.06,0.195,0.177,0.023,0.013,100.0,100.0,6.44,5.49,59.7,50.6,21.8,21.81,1.53,1.4,10.0,14.1
21.75,1.25,96585.68,96482.79,96290.28,97068.91,0.004375711,0.0033541769,0.0064815586,0.0024555335,0.0,2.2976667e-07,2.7729304e-06,0.0,0.0,0.0,0.0,0.0,301.71674,300.6167,307.2833,291.6832,3.9616125,4.332575,3.9627407,4.181646,41.81,35.19,35.71,37.09,22.48,27.57,8.27,8.06,0.195,0.177,0.023,0.013,100.0,100.0,6.44,5.49,59.7,50.6,21.8,21.81,1.53,1.4,10.0,14.1
21.75,1.75,96393.25,96288.836,96104.85,96873.13,0.004319864,0.003283325,0.0064019025,0.0023800284,0.0,1.1740796e-07,2.8204156e-06,0.0,0.0,0.0,0.0,0.0,301.7167,300.68332,307.1835,291.81668,3.8217735,4.330967,3.9194775,4.063275,41.81,35.19,35.71,37.09,22.48,27.57,8.27,8.06,0.195,0.177,0.023,0.013,100.0,100.0,6.44,5.49,59.7,50.6,21.8,21.81,1.53,1.4,10.0,14.1
